rowid,pl_hostname,pl_letter,pl_name,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_bmassprov,pl_radj,pl_dens,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_optmag,st_optband,gaia_gmag,st_teff,st_mass,st_rad,rowupdate,pl_tranflag,pl_rvflag,pl_imgflag,pl_astflag,pl_omflag,pl_cbflag,pl_angsep,pl_orbtper,pl_orblper,pl_rvamp,pl_eqt,pl_insol,pl_massj,pl_msinij,pl_masse,pl_msinie,pl_bmasse,pl_rade,pl_rads,pl_trandep,pl_trandur,pl_tranmid,pl_tsystemref,pl_imppar,pl_occdep,pl_ratdor,pl_ratror,pl_def_reflink,pl_disc,pl_disc_reflink,pl_locale,pl_facility,pl_telescope,pl_instrument,pl_status,pl_mnum,pl_st_npar,pl_st_nref,pl_pelink,pl_edelink,pl_publ_date,hd_name,hip_name,st_rah,st_glon,st_glat,st_elon,st_elat,st_plx,gaia_plx,gaia_dist,st_pmra,st_pmdec,st_pm,gaia_pmra,gaia_pmdec,gaia_pm,st_radv,st_sp,st_spstr,st_logg,st_lum,st_dens,st_metfe,st_metratio,st_age,st_vsini,st_acts,st_actr,st_actlx,swasp_id,st_nts,st_nplc,st_nglc,st_nrvc,st_naxa,st_nimg,st_nspec,st_uj,st_vj,st_bj,st_rc,st_ic,st_j,st_h,st_k,st_wise1,st_wise2,st_wise3,st_wise4,st_irac1,st_irac2,st_irac3,st_irac4,st_mips1,st_mips2,st_mips3,st_iras1,st_iras2,st_iras3,st_iras4,st_photn,st_umbj,st_bmvj,st_vjmic,st_vjmrc,st_jmh2,st_hmk2,st_jmk2,st_bmy,st_m1,st_c1,st_colorn
1,11 Com,b,11 Com b,Radial Velocity,1,326.03000000,1.290000,0.231000,,19.40000,Msini,,,0,0,0,0,12h20m43.03s,185.179276,+17d47m34.3s,17.792868,93.37,4.740,V (Johnson),4.372,4742.00,2.70,19.00,2014-05-14,0,1,0,0,0,0,1.38000e+01,2452899.600000,94.8000,302.800,,,,19.40000,,6165.60000,6165.60000,,,,,,,,,,,<a refstr=LIU_ET_AL__2008 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2008ApJ...672..553L target=ref> Liu et al. 2008 </a>,2007,<a refstr=LIU_ET_AL__2008 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2008ApJ...672..553L target=ref> Liu et al. 2008 </a>,Ground,Xinglong Station,2.16 m Telescope,Coude Echelle Spectrograph,3,0,27,19,http://exoplanet.eu/catalog/11_com_b/,http://exoplanets.org/detail/11_Com_b,2008-01,HD 107383,HIP 60202,12.34528503,264.140892,78.280522,177.422388,18.333765,10.71,10.71,93.37,-109.200,88.200,140.400,-109.200,88.200,140.400,43.37,5.00,K0 III,2.31,2.243,,-0.350,[Fe/H],,1.2000,,,,,3,0,1,2,0,3,0,6.540,4.740,5.750,,,2.943,2.484,2.282,0.639,0.732,2.358,2.270,,,,,,,,1.829e+00,1.867e+00,1.184e+00,-9.160e-01,20,0.790,1.010,,,0.459,0.202,0.661,,,,7
2,11 UMi,b,11 UMi b,Radial Velocity,1,516.21997000,1.530000,0.080000,,14.74000,Msini,,,0,0,0,0,15h17m05.89s,229.274536,+71d49m26.0s,71.823898,125.72,5.016,V (Johnson),4.500,4213.00,2.78,29.79,2018-09-06,0,1,0,0,0,0,1.22000e+01,,,189.700,,,,14.74000,,4684.81420,4684.81420,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2017 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017AJ....153..136S target=ref>Stassun et al. 2017</a>,2009,<a refstr=DOLLINGER_ET_AL__2009 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2009A&A...505.1311D target=ref> Dollinger et al. 2009 </a>,Ground,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope,Coude Echelle Spectrograph,3,0,35,18,http://exoplanet.eu/catalog/11_umi_b/,http://exoplanets.org/detail/11_UMi_b,2009-10,HD 136726,HIP 74793,15.28496908,108.718982,41.044516,141.647144,74.958184,7.95,7.95,125.72,3.400,10.100,10.700,3.400,10.100,10.700,-17.52,5.40,K4 III,1.93,,,-0.020,[Fe/H],,1.5000,,,,,2,0,1,1,0,3,0,,5.016,6.385,,,2.876,2.091,1.939,-0.290,0.143,1.894,1.787,,,,,,,,1.339e+00,1.351e+00,1.184e+00,-9.160e-01,17,,1.369,,,0.785,0.152,0.937,,,,5
3,14 And,b,14 And b,Radial Velocity,1,185.84000000,0.830000,0.000000,,4.80000,Msini,,,0,0,0,0,23h31m17.42s,352.822571,+39d14m10.3s,39.236198,75.59,5.227,V (Johnson),4.872,4813.00,2.20,11.00,2014-05-14,0,1,0,0,0,0,1.10000e+01,2452861.400000,0.0000,100.000,,,,4.80000,,1525.50000,1525.50000,,,,,,,,,,,<a refstr=SATO_ET_AL__2008 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2008PASJ...60.1317S target=ref> Sato et al. 2008 </a>,2008,<a refstr=SATO_ET_AL__2008 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2008PASJ...60.1317S target=ref> Sato et al. 2008 </a>,Ground,Okayama Astrophysical Observatory,1.88 m Telescope,HIDES Echelle Spectrograph,3,0,30,22,http://exoplanet.eu/catalog/14_and_b/,http://exoplanets.org/detail/14_And_b,2008-12,HD 221345,HIP 116076,23.52150472,106.411558,-21.050610,11.962116,38.229937,13.23,13.23,75.59,287.300,-83.800,299.300,287.300,-83.800,299.300,-59.73,4.80,G8 III,2.63,1.763,,-0.240,[Fe/H],,2.6000,0.095,,,,2,0,1,1,0,3,0,7.100,5.227,6.240,,,3.019,2.608,2.331,1.592,2.545,2.719,2.719,,,,,,,,2.198e+00,2.317e+00,1.184e+00,-9.160e-01,21,0.860,1.020,,,0.411,0.277,0.688,,,,7
4,14 Her,b,14 Her b,Radial Velocity,1,1773.40002000,2.930000,0.370000,,4.66000,Msini,,,0,0,0,0,16h10m24.31s,242.601303,+43d49m03.5s,43.817646,17.94,6.610,V (Johnson),6.379,5338.00,0.90,0.93,2018-09-06,0,1,0,0,0,0,1.63000e+02,,,90.000,,,,4.66000,,1481.08780,1481.08780,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2017 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017AJ....153..136S target=ref>Stassun et al. 2017</a>,2002,<a refstr=BUTLER_ET_AL__2003 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2003ApJ...582..455B target=ref> Butler et al. 2003 </a>,Ground,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer,3,0,79,37,http://exoplanet.eu/catalog/14_her_b/,http://exoplanets.org/detail/14_Her_b,2003-01,HD 145675,HIP 79248,16.17342021,69.170376,46.944999,223.248728,62.879798,55.74,55.74,17.94,132.000,-296.500,324.500,132.000,-296.500,324.500,,5.00,K0 V,4.45,,,0.410,[Fe/H],,1.6000,0.161,-5.060,,,5,0,1,4,0,4,1,,6.610,7.490,,,5.158,4.803,4.714,4.676,4.543,4.721,4.674,,,,,4.729e+00,4.624e+00,,4.213e+00,3.575e+00,1.184e+00,-9.160e-01,25,,0.880,,,0.355,0.089,0.444,0.537,0.366,0.438,9
5,16 Cyg B,b,16 Cyg B b,Radial Velocity,1,798.50000000,1.660000,0.680000,,1.78000,Msini,,,0,0,0,0,19h41m51.97s,295.466553,+50d31m03.1s,50.517525,21.41,6.250,V (Johnson),6.057,5750.00,1.08,1.13,2018-09-06,0,1,0,0,0,0,7.75000e+01,,,50.500,,,,1.78000,,565.73740,565.73740,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2017 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017AJ....153..136S target=ref>Stassun et al. 2017</a>,1996,<a refstr=COCHRAN_ET_AL__1997 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=1997ApJ...483..457C target=ref> Cochran et al. 1997 </a>,Ground,Multiple Observatories,Multiple Telescopes,Multiple Instruments,3,0,77,40,http://exoplanet.eu/catalog/16_cyg_b_b/,http://exoplanets.org/detail/16_Cyg_B_b,1997-07,HD 186427,HIP 96901,19.69777018,83.336460,13.204352,321.218050,69.468372,,47.28,21.15,-134.800,-162.500,211.100,-134.800,-162.500,211.100,-28.10,4.25,G2.5 V,4.36,,,0.060,[Fe/H],,2.1800,0.148,-5.080,,,5,0,1,4,0,4,3,7.070,6.250,6.910,,,4.993,4.695,4.651,4.773,4.568,4.926,4.713,,,,,4.694e+00,4.362e+00,,,,,,28,0.210,0.660,,,0.298,0.044,0.342,0.418,0.222,0.351,17
6,18 Del,b,18 Del b,Radial Velocity,1,993.30000000,2.600000,0.080000,,10.30000,Msini,,,0,0,0,0,20h58m25.94s,314.608063,+10d50m21.4s,10.839286,76.38,5.506,V (Johnson),5.244,4979.00,2.30,8.50,2014-05-14,0,1,0,0,0,0,3.40000e+01,2451672.000000,166.1000,119.400,,,,10.30000,,3273.50000,3273.50000,,,,,,,,,,,<a refstr=SATO_ET_AL__2008 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2008PASJ...60..539S target=ref> Sato et al. 2008 </a>,2008,<a refstr=SATO_ET_AL__2008 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2008PASJ...60..539S target=ref> Sato et al. 2008 </a>,Ground,Okayama Astrophysical Observatory,1.88 m Telescope,HIDES Echelle Spectrograph,3,0,28,20,http://exoplanet.eu/catalog/18_del_b/,http://exoplanets.org/detail/18_Del_b,2008-06,HD 199665,HIP 103527,20.97387085,58.691434,-21.974824,320.591213,26.786858,13.09,13.09,76.38,-50.000,-34.200,60.600,-50.000,-34.200,60.600,4.35,4.60,G6 III,2.82,1.602,,-0.052,[Fe/H],,,,,,,2,0,1,1,0,3,0,,5.506,6.430,,,4.032,3.440,3.366,3.370,2.931,3.355,3.308,,,,,,,,2.911e+00,2.852e+00,1.184e+00,-9.560e-01,18,,0.924,,,0.592,0.074,0.666,,,,5
7,1RXS J160929.1-210524,b,1RXS J160929.1-210524 b,Imaging,1,,330.000000,,,8.00000,Mass,,,0,0,0,0,16h09m30.30s,242.376268,-21d04m58.9s,-21.083036,145.00,,,12.057,4060.00,0.85,,2015-04-01,0,0,1,0,0,0,2.28000e+03,,,,1700,,8.00000,,3000.00000,,3000.00000,,,,,,,,,,,<a refstr=LACHAPELLE_ET_AL__2015 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015ApJ...802...61L target=ref>Lachapelle et al. 2015</a>,2008,<a refstr=LAFRENIERE_ET_AL__2008 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2008ApJ...689L.153L target=ref> Lafreniere et al. 2008 </a>,Ground,Gemini Observatory,8.19 m Gemini North Telescope,NIRI Camera,3,0,28,8,http://exoplanet.eu/catalog/1rxs_1609_b/,,2008-12,,,16.15841787,352.890560,22.030427,244.365684,-0.068410,,7.16,139.67,-10.300,-23.200,25.400,-10.300,-23.200,25.400,,5.70,K7 V,,-0.370,,,,0.005,,,,,,0,0,0,0,0,3,0,,,,,,9.820,9.121,8.916,8.794,8.790,8.684,8.531,,,,,,,,,,,,8,,,,,0.699,0.205,0.904,,,,3
8,24 Boo,b,24 Boo b,Radial Velocity,1,30.35060000,0.190000,0.042000,,0.91000,Msini,,,0,0,0,0,14h28m37.81s,217.157547,+49d50m41.5s,49.844852,96.25,5.580,V (Johnson),5.305,4893.00,0.99,10.64,2018-04-26,0,1,0,0,0,0,1.97000e+00,2450008.600000,210.0000,59.900,,,,0.91000,,289.22530,289.22530,,,,,,JD,,,,,<a refstr=TAKARADA_ET_AL__2018 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2018arXiv180404008T target=ref>Takarada et al. 2018</a>,2018,<a refstr=TAKARADA_ET_AL__2018 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2018arXiv180404008T target=ref>Takarada et al. 2018</a>,Ground,Okayama Astrophysical Observatory,1.88 m Telescope,HIDES Echelle Spectrograph,3,0,17,14,,,,HD 127243,HIP 70791,14.47716980,90.162223,60.643666,185.925162,58.888907,10.39,10.39,96.25,-304.100,-46.800,307.600,-304.100,-46.800,307.600,-7.77,4.30,G3 IV,2.42,1.774,,-0.770,[Fe/H],6.920,3.3600,,,,,1,0,1,0,0,3,0,,5.580,6.442,,,3.845,3.340,3.159,,,,,,,,,,,,2.947e+00,2.861e+00,1.184e+00,-9.160e-01,14,,0.864,,,0.505,0.181,0.686,,,,6
9,24 Sex,b,24 Sex b,Radial Velocity,2,452.80000000,1.333000,0.090000,,1.99000,Msini,,,0,0,0,0,10h23m28.37s,155.868210,-00d54m08.1s,-0.902244,72.21,6.441,V (Johnson),6.198,5098.00,1.54,4.90,2014-05-14,0,1,0,0,0,0,1.85000e+01,2454762.000000,9.2000,40.000,,,,1.99000,,632.46000,632.46000,,,,,,,,,,,<a refstr=JOHNSON_ET_AL__2010 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2010arXiv1007.4552J target=ref> Johnson et al. 2010 </a>,2010,<a refstr=JOHNSON_ET_AL__2010 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2010arXiv1007.4552J target=ref> Johnson et al. 2010 </a>,Ground,Lick Observatory,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,3,0,21,17,http://exoplanet.eu/catalog/24_sex_b/,http://exoplanets.org/detail/24_Sex_b,2011-01,HD 90043,HIP 50887,10.39121399,245.085309,44.715734,157.993590,-10.198148,13.85,13.85,72.21,65.200,-36.300,74.600,65.200,-36.300,74.600,7.29,5.00,K0 IV,3.50,1.164,,-0.030,[Fe/H],2.700,2.7700,,,,,3,0,1,2,0,3,1,,6.441,7.399,,,5.292,4.486,4.285,4.094,3.598,4.254,4.201,,,,,,,,3.803e+00,2.555e+00,1.102e+00,-9.160e-01,17,,0.958,,,0.806,0.201,1.007,0.572,0.342,0.427,8
10,24 Sex,c,24 Sex c,Radial Velocity,2,883.00000000,2.080000,0.290000,,0.86000,Msini,,,0,0,0,0,10h23m28.37s,155.868210,-00d54m08.1s,-0.902244,72.21,6.441,V (Johnson),6.198,5098.00,1.54,4.90,2014-05-14,0,1,0,0,0,0,2.88000e+01,2454930.000000,220.5000,14.500,,,,0.86000,,273.32000,273.32000,,,,,,,,,,,<a refstr=JOHNSON_ET_AL__2010 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2010arXiv1007.4552J target=ref> Johnson et al. 2010 </a>,2010,<a refstr=JOHNSON_ET_AL__2010 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2010arXiv1007.4552J target=ref> Johnson et al. 2010 </a>,Ground,Lick Observatory,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,3,0,21,17,http://exoplanet.eu/catalog/24_sex_c/,http://exoplanets.org/detail/24_Sex_c,2011-01,HD 90043,HIP 50887,10.39121399,245.085309,44.715734,157.993590,-10.198148,13.85,13.85,72.21,65.200,-36.300,74.600,65.200,-36.300,74.600,7.29,5.00,K0 IV,3.50,1.164,,-0.030,[Fe/H],2.700,2.7700,,,,,3,0,1,2,0,3,1,,6.441,7.399,,,5.292,4.486,4.285,4.094,3.598,4.254,4.201,,,,,,,,3.803e+00,2.555e+00,1.102e+00,-9.160e-01,17,,0.958,,,0.806,0.201,1.007,0.572,0.342,0.427,8
