"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-01-01",,"52","26"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-01-02",,"43","34"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-01-03",,"32","17"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-01-04",,"23","13"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-01-05",,"27","17"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-01-06",,"30","13"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-01-07",,"28","12"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-01-08",,"28","15"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-01-09",,"32","11"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-01-10",,"32","4"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-01-11",,"16","1"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-01-12",,"15","9"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-01-13",,"18","7"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-01-14",,"16","7"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-01-15",,"19","11"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-01-16",,"17","1"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-01-17",,"20","-2"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-01-18",,"21","0"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-01-19",,"24","11"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-01-20",,"24","15"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-01-21",,"29","10"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-01-22",,"29","8"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-01-23",,"32","19"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-01-24",,"39","29"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-01-25",,"44","28"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-01-26",,"39","24"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-01-27",,"37","27"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-01-28",,"31","23"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-01-29",,"43","29"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-01-30",,"37","30"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-01-31",,"40","27"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-02-01",,"36","22"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-02-02",,"36","30"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-02-03",,"43","29"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-02-04",,"20","10"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-02-05",,"19","4"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-02-06",,"43","14"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-02-07",,"46","24"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-02-08",,"25","18"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-02-09",,"38","18"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-02-10",,"54","32"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-02-11",,"38","31"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-02-12",,"36","27"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-02-13",,"35","29"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-02-14",,"45","31"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-02-15",,"49","34"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-02-16",,"48","32"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-02-17",,"20","16"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-02-18",,"29","15"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-02-19",,"36","18"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-02-20",,"15","4"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-02-21",,"25","6"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-02-22",,"32","22"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-02-23",,"37","21"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-02-24",,"38","28"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-02-25",,"37","22"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-02-26",,"36","24"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-02-27",,"40","22"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-02-28",,"33","18"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-03-01",,"40","30"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-03-02",,"38","29"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-03-03",,"31","28"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-03-04",,"33","23"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-03-05",,"29","13"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-03-06",,"36","19"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-03-07",,"41","25"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-03-08",,"45","28"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-03-09",,"44","35"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-03-10",,"40","34"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-03-11",,"40","33"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-03-12",,"53","35"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-03-13",,"51","39"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-03-14",,"49","32"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-03-15",,"39","23"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-03-16",,"31","16"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-03-17",,"34","22"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-03-18",,"43","25"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-03-19",,"39","23"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-03-20",,"42","29"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-03-21",,"52","33"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-03-22",,"46","37"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-03-23",,"35","31"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-03-24",,"48","31"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-03-25",,"55","42"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-03-26",,"48","33"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-03-27",,"44","33"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-03-28",,"41","29"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-03-29",,"43","22"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-03-30",,"55","24"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-03-31",,"55","33"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-04-01",,"74","40"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-04-02",,"51","38"
